,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 51038,0.022501823332579746,2.736936206363917,0.09805259684485146,1.0,186.07929515418505,1.9851876571361733e-32,
Cluster 51046,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 51047,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 51048,0.0009861240760847129,0.0,1.0,1.0,176.55636519502784,3.3915687400177745e-31,
Cluster 51049,0.0064030191487625815,1.7015736754796151,0.6365839882372972,1.0,4.605766900896533,0.03277632349448492,
Cluster 51050,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 51052,0.008424511623053549,1.407368517548455,0.23549372592404214,1.0,89.66237942122186,1.6673331265096974e-18,
Cluster 51053,0.0035623165461911577,0.0,1.0,1.0,74.01494628678189,7.03189628396912e-16,
Cluster 51054,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 51055,0.003359746120345869,0.46887173694779083,0.4935066806872347,1.0,78.03875730544445,1.445527404617113e-16,
Cluster 51057,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 51059,0.003993376466960984,0.20134893419833172,0.6536342213294386,1.0,186.07929515418505,1.9851876571361733e-32,
Cluster 51068,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 51069,0.00015574009318147786,0.0,1.0,1.0,103.1027027027027,1.1538726897817544e-20,
Cluster 51071,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 51075,0.0004852820871206545,0.0,1.0,1.0,196.2946509519493,1.0106422330418762e-33,
Cluster 51077,0.002821070585578074,0.12770453689759043,0.7208240276685912,1.0,167.6592901878914,5.0891299598625544e-30,
Cluster 51082,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 51083,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 51084,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 51088,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
